vessel_volume,feed_temperature,feed_mass_flow,tr2-butene_mass_fr,feed_mass_dens,prod_mass_dens,prod_temperature
0.11,30.0,1.3056,0.9159,613.3439,561.9277,56.2088
0.11,30.0,1.3056,0.9159,613.3439,561.9277,56.2088
0.11,30.0,1.3056,0.9159,613.3439,561.9277,56.2088
0.11,30.0,1.3056,0.9159,613.3439,561.9277,56.2088
0.11,30.0,1.3056,0.9147,604.7568,553.611,62.1351
0.11,37.0,1.3056,0.9147,604.7568,553.611,62.1351
0.11,37.0,1.3056,0.9147,602.261,551.1791,63.8289
0.11,40.0,1.3056,0.9142,601.0057,549.9535,64.6757
0.11,40.0,1.3056,0.914,599.7452,548.7211,65.5226
0.11,41.0,1.3056,0.914,599.7452,548.7211,66.3694
0.11,42.0,1.3056,0.9139,598.4796,547.4819,66.3694
0.11,44.0,1.3056,0.9135,595.9325,544.9823,68.063
0.11,44.0,1.3056,0.9135,595.9325,544.9823,68.063
0.11,44.0,1.3056,0.9135,595.9325,544.9823,68.063
0.11,44.0,1.3056,0.9135,595.9325,541.1789,70.6026
0.11,47.0,1.3056,0.9129,592.0707,541.1789,70.6026
0.11,48.0,1.3056,0.9128,590.772,539.8961,71.4488
0.11,48.0,1.3056,0.9128,590.772,539.8961,71.4488
0.11,51.0,1.3056,0.9122,586.8402,535.9999,73.9866
0.11,51.0,1.3056,0.9122,586.8402,535.9999,73.9866
0.11,17.0,1.4722,0.9084,628.7474,577.1731,44.9648
0.11,18.0,1.4722,0.9083,627.5852,576.0709,45.8094
0.11,18.0,1.4722,0.9083,627.5852,576.0709,45.8094
0.11,18.0,1.4722,0.9083,627.5852,576.0709,45.8094
0.11,18.0,1.4722,0.9083,627.5852,576.0709,45.8094
0.11,18.0,1.4722,0.9076,622.9003,571.6116,49.192
0.11,22.0,1.4722,0.9074,621.7197,570.4867,50.0365
0.11,23.0,1.4722,0.9074,621.7197,570.4867,50.8826
0.11,24.0,1.4722,0.9073,620.5352,569.355,50.8826
0.11,25.0,1.4722,0.9071,619.3468,568.2181,51.729
0.11,25.0,1.4722,0.9071,616.958,565.9283,53.4222
0.11,27.0,1.4722,0.9068,616.958,565.9283,53.4222
0.11,28.0,1.4722,0.9066,615.7575,564.7756,54.269
0.11,28.0,1.4722,0.9066,615.7575,564.7756,54.269
0.11,28.0,1.4722,0.9066,615.7575,564.7756,54.269
0.11,28.0,1.4722,0.9066,615.7575,564.7756,54.269
0.11,28.0,1.4722,0.9066,615.7575,564.7756,54.269
0.11,28.0,1.4722,0.9055,608.4644,557.743,59.3514
0.11,35.0,1.4722,0.9053,607.2332,556.5477,60.2007
0.11,35.0,1.4722,0.9053,607.2332,555.3486,61.0485
0.11,36.0,1.4722,0.9052,605.9974,555.3486,61.0485
0.11,37.0,1.4722,0.905,604.7568,554.1433,61.8963
0.11,39.0,1.4722,0.9046,602.261,551.7135,63.5922
0.11,39.0,1.4722,0.9046,602.261,551.7135,63.5922
0.11,39.0,1.4722,0.9046,602.261,551.7135,63.5922
0.11,41.0,1.4722,0.9042,599.7452,549.2575,65.288
0.11,43.0,1.4722,0.9038,597.2088,546.7745,66.9836
0.11,43.0,1.4722,0.9036,595.9325,545.5226,67.8313
0.11,44.0,1.4722,0.9036,595.9325,545.5226,67.8313
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
